id,auto_make,auto_body-style,auto_length,auto_width,auto_city-mpg,auto_price,auto_num_cyl,auto_two_door,auto_engine_size
0,alfa-romero,convertible,168.8,64.1,21,"13,495",4,1,medium
1,alfa-romero,convertible,168.8,64.1,21,"16,500",4,1,medium
2,alfa-romero,hatchback,171.2,65.5,19,"16,500",6,1,medium
3,audi,sedan,176.6,66.2,24,"13,950",4,0,medium
4,audi,sedan,176.6,66.4,18,"17,450",5,0,medium
5,audi,sedan,177.3,66.3,19,"15,250",5,1,medium
6,audi,sedan,192.7,71.4,19,"17,710",5,0,medium
7,audi,wagon,192.7,71.4,19,"18,920",5,0,medium
8,audi,sedan,192.7,71.4,17,"23,875",5,0,medium
10,bmw,sedan,176.8,64.8,23,"16,430",4,1,medium
11,bmw,sedan,176.8,64.8,23,"16,925",4,0,medium
12,bmw,sedan,176.8,64.8,21,"20,970",6,1,medium
13,bmw,sedan,176.8,64.8,21,"21,105",6,0,medium
14,bmw,sedan,189,66.9,20,"24,565",6,0,medium
15,bmw,sedan,189,66.9,16,"30,760",6,0,medium
16,bmw,sedan,193.8,67.9,16,"41,315",6,1,medium
17,bmw,sedan,197,70.9,15,"36,880",6,0,medium
18,chevrolet,hatchback,141.1,60.3,47,"5,151",3,1,small
19,chevrolet,hatchback,155.9,63.6,38,"6,295",4,1,medium
20,chevrolet,sedan,158.8,63.6,38,"6,575",4,0,medium
21,dodge,hatchback,157.3,63.8,37,"5,572",4,1,medium
22,dodge,hatchback,157.3,63.8,31,"6,377",4,1,medium
23,dodge,hatchback,157.3,63.8,24,"7,957",4,1,medium
24,dodge,hatchback,157.3,63.8,31,"6,229",4,0,medium
25,dodge,sedan,157.3,63.8,31,"6,692",4,0,medium
26,dodge,sedan,157.3,63.8,31,"7,609",4,0,medium
27,dodge,sedan,157.3,63.8,24,"8,558",4,?,medium
28,dodge,wagon,174.6,64.6,24,"8,921",4,0,medium
29,dodge,hatchback,173.2,66.3,19,"12,964",4,1,medium
30,honda,hatchback,144.6,63.9,49,"6,479",4,1,medium
31,honda,hatchback,144.6,63.9,31,"6,855",4,1,medium
32,honda,hatchback,150,64,38,"5,399",4,1,medium
33,honda,hatchback,150,64,30,"6,529",4,1,medium
34,honda,hatchback,150,64,30,"7,129",4,1,medium
35,honda,sedan,163.4,64,30,"7,295",4,0,medium
36,honda,wagon,157.1,63.9,30,"7,295",4,0,medium
37,honda,hatchback,167.5,65.2,27,"7,895",4,1,medium
38,honda,hatchback,167.5,65.2,27,"9,095",4,1,medium
39,honda,sedan,175.4,65.2,27,"8,845",4,0,medium
40,honda,sedan,175.4,62.5,27,"10,295",4,0,medium
41,honda,sedan,175.4,65.2,24,"12,945",4,0,medium
42,honda,sedan,169.1,66,25,"10,345",4,1,medium
43,isuzu,sedan,170.7,61.8,24,"6,785",4,0,medium
46,isuzu,hatchback,172.6,65.2,24,"11,048",4,1,medium
47,jaguar,sedan,199.6,69.6,15,"32,250",6,0,medium
48,jaguar,sedan,199.6,69.6,15,"35,550",6,0,medium
49,jaguar,sedan,191.7,70.6,13,"36,000",12,1,large
50,mazda,hatchback,159.1,64.2,30,"5,195",4,1,medium
51,mazda,hatchback,159.1,64.2,31,"6,095",4,1,medium
52,mazda,hatchback,159.1,64.2,31,"6,795",4,1,medium
53,mazda,sedan,166.8,64.2,31,"6,695",4,0,medium
54,mazda,sedan,166.8,64.2,31,"7,395",4,0,medium
55,mazda,hatchback,169,65.7,17,"10,945",2,1,small
56,mazda,hatchback,169,65.7,17,"11,845",2,1,small
57,mazda,hatchback,169,65.7,17,"13,645",2,1,small
58,mazda,hatchback,169,65.7,16,"15,645",2,1,small
59,mazda,hatchback,177.8,66.5,26,"8,845",4,1,medium
60,mazda,sedan,177.8,66.5,26,"8,495",4,0,medium
61,mazda,hatchback,177.8,66.5,26,"10,595",4,1,medium
62,mazda,sedan,177.8,66.5,26,"10,245",4,0,medium
63,mazda,sedan,177.8,66.5,36,"10,795",4,?,medium
64,mazda,hatchback,177.8,66.5,26,"11,245",4,0,medium
65,mazda,sedan,175,66.1,19,"18,280",4,0,medium
66,mazda,sedan,175,66.1,31,"18,344",4,0,medium
67,mercedes-benz,sedan,190.9,70.3,22,"25,552",5,0,medium
68,mercedes-benz,wagon,190.9,70.3,22,"28,248",5,0,medium
69,mercedes-benz,hardtop,187.5,70.3,22,"28,176",5,1,medium
70,mercedes-benz,sedan,202.6,71.7,22,"31,600",5,0,medium
71,mercedes-benz,sedan,202.6,71.7,16,"34,184",8,0,large
72,mercedes-benz,convertible,180.3,70.5,16,"35,056",8,1,large
73,mercedes-benz,sedan,208.1,71.7,14,"40,960",8,0,large
74,mercedes-benz,hardtop,199.2,72,14,"45,400",8,1,large
75,mercury,hatchback,178.4,68,19,"16,503",4,1,medium
76,mitsubishi,hatchback,157.3,64.4,37,"5,389",4,1,medium
77,mitsubishi,hatchback,157.3,64.4,31,"6,189",4,1,medium
78,mitsubishi,hatchback,157.3,64.4,31,"6,669",4,1,medium
79,mitsubishi,hatchback,157.3,63.8,24,"7,689",4,1,medium
80,mitsubishi,hatchback,173,65.4,23,"9,959",4,1,medium
81,mitsubishi,hatchback,173,65.4,25,"8,499",4,1,medium
82,mitsubishi,hatchback,173.2,66.3,19,"12,629",4,1,medium
83,mitsubishi,hatchback,173.2,66.3,19,"14,869",4,1,medium
84,mitsubishi,hatchback,173.2,66.3,19,"14,489",4,1,medium
85,mitsubishi,sedan,172.4,65.4,25,"6,989",4,0,medium
86,mitsubishi,sedan,172.4,65.4,25,"8,189",4,0,medium
87,mitsubishi,sedan,172.4,65.4,23,"9,279",4,0,medium
88,mitsubishi,sedan,172.4,65.4,23,"9,279",4,0,medium
89,nissan,sedan,165.3,63.8,31,"5,499",4,1,medium
90,nissan,sedan,165.3,63.8,45,"7,099",4,1,medium
91,nissan,sedan,165.3,63.8,31,"6,649",4,1,medium
92,nissan,sedan,165.3,63.8,31,"6,849",4,0,medium
93,nissan,wagon,170.2,63.8,31,"7,349",4,0,medium
94,nissan,sedan,165.3,63.8,31,"7,299",4,1,medium
95,nissan,hatchback,165.6,63.8,31,"7,799",4,1,medium
96,nissan,sedan,165.3,63.8,31,"7,499",4,0,medium
97,nissan,wagon,170.2,63.8,31,"7,999",4,0,medium
98,nissan,hardtop,162.4,63.8,31,"8,249",4,1,medium
99,nissan,hatchback,173.4,65.2,27,"8,949",4,0,medium
100,nissan,sedan,173.4,65.2,27,"9,549",4,0,medium
101,nissan,sedan,181.7,66.5,17,"13,499",6,0,medium
102,nissan,wagon,184.6,66.5,17,"14,399",6,0,medium
103,nissan,sedan,184.6,66.5,19,"13,499",6,0,medium
104,nissan,hatchback,170.7,67.9,19,"17,199",6,1,medium
105,nissan,hatchback,170.7,67.9,17,"19,699",6,1,medium
106,nissan,hatchback,178.5,67.9,19,"18,399",6,1,medium
107,peugot,sedan,186.7,68.4,19,"11,900",4,0,medium
108,peugot,sedan,186.7,68.4,28,"13,200",4,0,medium
109,peugot,wagon,198.9,68.4,19,"12,440",4,0,medium
110,peugot,wagon,198.9,68.4,25,"13,860",4,0,medium
111,peugot,sedan,186.7,68.4,19,"15,580",4,0,medium
112,peugot,sedan,186.7,68.4,28,"16,900",4,0,medium
113,peugot,wagon,198.9,68.4,19,"16,695",4,0,medium
114,peugot,wagon,198.9,68.4,25,"17,075",4,0,medium
115,peugot,sedan,186.7,68.4,19,"16,630",4,0,medium
116,peugot,sedan,186.7,68.4,28,"17,950",4,0,medium
117,peugot,sedan,186.7,68.3,18,"18,150",4,0,medium
118,plymouth,hatchback,157.3,63.8,37,"5,572",4,1,medium
