rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
24,4900,1,1,1216,6,3,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
849,2750,1,1,700,12,3,9,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
7616,2000,1,1,700,4,2,85,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
863,3200,1,1,800,5,3,27,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
10632,1799,1,1,650,7,3,8,0,0,0,0,0,0,0,0,Greenwood,Brooklyn
2201,3045,1,1,589,1,3,17,1,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
5050,3790,1,1,681,2,7,90,1,1,1,1,1,0,0,1,Downtown Brooklyn,Brooklyn
6233,3226,1,1,976,3,5,0,1,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
1387,3080,1,1,655,7,5,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7968,2485,1,1,703,10,5,3,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
6408,4000,1,2,900,3,1,106,1,1,1,1,1,1,0,1,Williamsburg,Brooklyn
2291,1500,1,1,800,6,3,52,0,0,0,0,0,0,0,0,Kensington,Brooklyn
5659,3200,1,1,701,10,13,6,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
10259,1650,1,1,686,6,4,57,1,0,0,0,0,0,0,0,Brighton Beach,Brooklyn
10421,2400,1,1,875,2,2,85,0,0,0,0,0,0,0,0,Gowanus,Brooklyn
1997,2450,1,1,800,5,3,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
1471,3300,1,1,974,3,7,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4182,2900,1,1,662,1,4,9,0,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
6236,3100,1,1,820,1,10,96,1,1,1,1,1,1,0,1,Downtown Brooklyn,Brooklyn
7906,1650,1,1,620,1,1,90,0,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
780,3090,1,1,675,1,16,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
10586,1984,1,1,761,6,55,89,1,0,0,0,0,0,0,0,Flatbush,Brooklyn
10047,1695,1,1,700,7,3,53,0,0,0,0,0,0,0,0,Kensington,Brooklyn
10653,2850,1,1,800,7,3,12,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
10587,2123,1,1,720,6,58,89,1,0,0,0,0,0,0,0,Flatbush,Brooklyn
