Clothing ID,Age,Title,Rating,Division Name
767,33,,satisfied,Initmates
1080,34,,very satisfied,General
1077,60,Some major design flaws,neutral,General
1049,50,My favorite buy!,very satisfied,General Petite
847,47,Flattering shirt,very satisfied,General
1080,49,Not for the very petite,unsatisfied,General
858,39,Cagrcoal shimmer fun,very satisfied,General Petite
858,39,"Shimmer, surprisingly goes with lots",satisfied,General Petite
1077,24,Flattering,very satisfied,General
1077,34,Such a fun dress!,very satisfied,General
1077,53,Dress looks like it's made of cheap material,neutral,General
1095,39,,very satisfied,General Petite
1095,53,Perfect!!!,very satisfied,General Petite
767,44,Runs big,very satisfied,Initmates
1077,50,Pretty party dress with some issues,neutral,General
1065,47,"Nice, but not for my body",satisfied,General
1065,34,"You need to be at least average height, or taller",neutral,General
853,41,Looks great with white pants,very satisfied,General
1120,32,Super cute and cozy,very satisfied,General
1077,47,Stylish and comfortable,very satisfied,General
847,33,"Cute, crisp shirt",satisfied,General
1080,55,I'm torn!,satisfied,General
1077,31,Not what it looks like,unsatisfied,General
1077,34,"Like it, but don't love it.",neutral,General
847,55,Versatile,very satisfied,General
697,31,Falls flat,neutral,Initmates
949,33,Huge disappointment,unsatisfied,General
1003,31,"Loved, but returned",satisfied,General
684,53,Great shirt!!!,very satisfied,Initmates
4,28,Great layering piece,very satisfied,General
1060,33,,very satisfied,General Petite
1060,46,Cuter in oerson!,very satisfied,General Petite
1060,21,Love these pants,very satisfied,General Petite
949,36,Mehh,unsatisfied,General
697,39,Love this dress!,very satisfied,Initmates
1060,65,Lovely!,satisfied,General Petite
1002,29,,satisfied,General
949,38,Beautifully cut lightweight coat,very satisfied,General
684,36,,very satisfied,Initmates
862,59,,very satisfied,General
862,47,,satisfied,General
862,40,,very satisfied,General
910,23,Soft & lovely,very satisfied,General
89,67,Some things you should know...,satisfied,Initmates
862,48,Beautiful!,very satisfied,General
862,43,Love the two tone design,satisfied,General
862,40,,very satisfied,General
823,52,,very satisfied,General
910,56,Love the color!,very satisfied,General
862,33,Love the embroidery!,very satisfied,General
862,46,Cute for fall,satisfied,General
862,41,Love,very satisfied,General
1104,39,,neutral,General
862,39,Flattering and comfortable,very satisfied,General
862,66,Cute top,satisfied,General
862,61,Soft and cute as can be!,very satisfied,General
368,33,,unsatisfied,Initmates
862,31,"Boring front, great back",neutral,General
1095,36,,satisfied,General Petite
368,52,Soft and comfortable,satisfied,Initmates
1095,41,Gorgeous dress!,very satisfied,General Petite
368,36,Itchy tags,very unsatisfied,Initmates
862,28,Must have,very satisfied,General
862,57,Cute top! love the brand,very satisfied,General
862,43,Love this top,very satisfied,General
862,58,,satisfied,General
862,60,Super cute and unique top,satisfied,General
862,40,Beautiful top,very satisfied,General
862,37,I wanted to love this top...,unsatisfied,General
1078,56,Great summer fabric!,neutral,General Petite
845,38,"Cute, but massive sweep",satisfied,General Petite
822,36,Short and boxy,unsatisfied,General
850,27,Beautiful design,very satisfied,General
866,47,,satisfied,General Petite
1081,59,,very satisfied,General Petite
845,48,Very very cute but a lot of fabric,very satisfied,General Petite
1082,31,Runs large in top and waist,satisfied,General
850,28,Zipper broke,unsatisfied,General Petite
836,47,Obsessed,very satisfied,General
1081,62,So cute...but dry clean?!,satisfied,General Petite
1072,68,Elegant classic dress,very satisfied,General
863,61,,very satisfied,General Petite
1133,33,Cute parka!,very satisfied,General
822,68,Just lovely,very satisfied,General
861,37,Casual & unique tee,neutral,General Petite
866,58,,very unsatisfied,General Petite
850,39,Neutral blue,satisfied,General Petite
1081,39,True to size to large,satisfied,General Petite
845,38,Huge,unsatisfied,General Petite
836,24,"Pretty, but not for me...",satisfied,General
1078,51,Sweet flattering dress,satisfied,General Petite
850,29,,very satisfied,General Petite
861,23,,very satisfied,General Petite
1081,31,,very satisfied,General
850,23,"Beautifully made, but not versatile",satisfied,General Petite
863,83,Casual elegance!,very satisfied,General
845,44,,very unsatisfied,General Petite
861,44,Huge,very unsatisfied,General Petite
1133,50,,very satisfied,General
861,33,Pernette henley,neutral,General Petite
861,39,Comfy,satisfied,General Petite
863,40,"Simple, stylish, lovely-runs a bit big",satisfied,General
822,69,Stunning lace top,very satisfied,General
822,23,Not a fan,unsatisfied,General
863,51,,unsatisfied,General
836,66,Excited ... but ...,very satisfied,General
836,47,Beautiful shirt but runs small!,satisfied,General
836,66,Beautiful,satisfied,General
836,23,Perfect fall shirt!,very satisfied,General
1081,47,,very satisfied,General
861,44,Poor quality,very unsatisfied,General Petite
1081,44,An almost for me...,neutral,General
836,50,"Beautiful, stunning, cozy top!",very satisfied,General
1081,61,Cute and comfy,very satisfied,General
1082,32,Disappointing quality,unsatisfied,General
863,52,Cute tee,satisfied,General
1072,51,Very vintage feel,satisfied,General
1078,32,,very satisfied,General Petite
850,37,Awkward fitting,unsatisfied,General
836,54,Cozy casual - perfect for fall,very satisfied,General
861,33,The perfect striped t,very satisfied,General Petite
966,63,,very satisfied,General
1196,29,,very satisfied,General Petite
836,24,So beautiful! gorgeous orange color!,very satisfied,General
923,50,"Lovely top, not lovely shape",neutral,General
1072,34,"Wonderfully made, poorly designed for busty gals",neutral,General
1133,71,,satisfied,General
1133,30,,very satisfied,General
966,52,Cute vest but...,satisfied,General
863,28,Great top,very satisfied,General
845,62,,satisfied,General Petite
1081,39,Just ok,neutral,General
861,46,Pernette henley,satisfied,General Petite
966,36,Stylish and versatile!,very satisfied,General
845,65,You'll smile on a humid summer's day,very satisfied,General Petite
861,35,,satisfied,General Petite
966,31,A new staple for my wardrobe,satisfied,General
836,52,Runs short,satisfied,General
126,34,Feminine alternative to your shapeless puffer,satisfied,Initmates
1008,31,Love. love. love this skirt!!,very satisfied,General
829,36,Pretry top,very satisfied,General
828,39,,satisfied,General
1126,35,,very satisfied,General
1008,51,Great classic,very satisfied,General
829,39,"Beautiful, but scratchy",neutral,General
828,39,On the fence,neutral,General
1008,39,"So pretty, a bit long and bigger than what i read",very satisfied,General
1011,47,Cute skirt!,very satisfied,General
1008,64,Very pretty,very satisfied,General
1008,38,A beautiful skirt!,very satisfied,General
1008,36,Gorgeous skirt!,very satisfied,General
1008,39,Beautiful,satisfied,General
829,53,Not impressed...,neutral,General
829,36,Fair,neutral,General
829,44,Great colors but....,neutral,General Petite
829,48,Beautiful colors,very satisfied,General Petite
1008,37,,very satisfied,General
523,43,Australian sizing!!,neutral,Initmates
829,53,,satisfied,General Petite
829,33,Vibrant metallic,satisfied,General Petite
1126,39,So sad not mine,satisfied,General
829,52,"Scratchy, uncomfortable top",very unsatisfied,General Petite
829,64,Yes it's scratchy but it can work out!,satisfied,General Petite
1008,52,Classy and cute,very satisfied,General
1126,42,So pretty!,satisfied,General
829,35,,neutral,General Petite
1020,56,Just as pictured,very satisfied,General Petite
895,55,Great purchase,very satisfied,General
862,40,,very satisfied,General
1104,47,Antoher beautiful maeve dress!,very satisfied,General
670,36,Fun,very satisfied,Initmates
329,46,Comfy and adorable!,very satisfied,Initmates
670,66,Beautiful fabric and style,satisfied,Initmates
868,51,Great for summer,satisfied,General Petite
1020,34,Wonderful but going back,very satisfied,General Petite
862,30,"Comfy, casual shirt",satisfied,General
895,43,Perfect casual sweater,very satisfied,General
895,52,,very satisfied,General
1094,35,Not for me,unsatisfied,General Petite
895,41,Perfect for warmer climates,very satisfied,General
895,39,Need petite,very satisfied,General
1020,39,Fun,satisfied,General Petite
895,50,Completes so many outfits!,very satisfied,General
1020,27,Size up!,satisfied,General Petite
895,33,Not as pictured.,unsatisfied,General
895,35,"Fits strange, flimsy material",unsatisfied,General
1020,34,"Nice color, love the snap buttons",satisfied,General Petite
596,41,Modern comfort,very satisfied,General
1094,54,"It's gorgeous, but...",satisfied,General Petite
1020,41,Runs very small,satisfied,General Petite
895,47,Pretty,satisfied,General Petite
895,52,Nice but too thin,unsatisfied,General Petite
895,46,,very satisfied,General Petite
1020,22,,very satisfied,General Petite
1098,40,,neutral,General
895,62,Lovely and feminine,very satisfied,General Petite
862,26,A great piece,very satisfied,General Petite
1020,38,Love everything about this skirt,very satisfied,General Petite
895,53,Perfect comfy now top!,very satisfied,General
1020,49,Poor quality,neutral,General Petite
895,43,Huuuuge,neutral,General
895,36,,very satisfied,General
895,36,Not worth cost,neutral,General
895,63,Tunic doesn't look like i am covering up,very satisfied,General
828,56,Too big,satisfied,General
1020,48,Runs small too bad....,neutral,General Petite
862,43,,very satisfied,General
1020,44,Skirt dimensions are off,satisfied,General Petite
895,40,,very satisfied,General
862,44,,very unsatisfied,General
895,54,Comfort & style,very satisfied,General
1020,72,,satisfied,General Petite
1075,52,Classic,satisfied,General
1104,47,My new favorite dress,very satisfied,General
1020,67,Not as pictured!,very unsatisfied,General Petite
1094,39,Autumn fever,very satisfied,General Petite
305,46,Very small,unsatisfied,Initmates
828,64,Too cute to pass up!,very satisfied,General
1094,30,Falling goddess,very satisfied,General Petite
828,38,,very satisfied,General
895,36,Pretty and comfy,satisfied,General Petite
1020,52,Perfect skirt,very satisfied,General Petite
895,61,,very satisfied,General Petite
647,29,"Easy, comfy & cute",very satisfied,General Petite
1025,38,,satisfied,General
1025,35,Gorgeous,very satisfied,General
815,55,Pretty,very satisfied,General Petite
1066,57,Great crop pant,satisfied,General
840,55,Cute,satisfied,General
1026,39,Why so long?,satisfied,General
840,39,"Runs large, bohemian",very satisfied,General
1066,46,"Wonderful weight for summer, flattering",very satisfied,General
840,37,Light & large,unsatisfied,General
1030,29,"Must have, right on trend, but still classic",very satisfied,General
840,83,Pretty but runs large!,very satisfied,General
1066,29,Comfortable & stylish crop pants,very satisfied,General
647,49,Cozy sunday!,very satisfied,General Petite
1066,42,Not what i expected,unsatisfied,General
872,63,Fun change from the norm,very satisfied,General
840,56,,neutral,General
1066,55,Perfect for mediterenian summer,satisfied,General
647,32,"Loved this, then washed it twice and it fell apart",very unsatisfied,General Petite
1066,26,Super flattering,very satisfied,General
840,60,,satisfied,General
1066,48,Recommend but not for me,neutral,General
872,38,Love this!,very satisfied,General
1066,49,Cute but small,neutral,General
1115,41,Really nice sweater coat,satisfied,General
1030,28,,very satisfied,General
1018,28,,satisfied,General
1026,48,Perfect,very satisfied,General
840,32,Very cute top,very satisfied,General
1066,29,Super cute pants,very satisfied,General
647,32,"Cute, casual dress",very satisfied,General Petite
840,28,,very satisfied,General
840,51,Runs big!,satisfied,General
840,44,Stylish and understated elegant,very satisfied,General
1018,43,Pockets!,satisfied,General
840,48,Fits like a maternity top,neutral,General
824,37,Love this top,very satisfied,General
1115,31,Love this coat!,very satisfied,General
840,50,Adorable and flattering,very satisfied,General
878,47,"Cute, but no go!",neutral,General
984,56,Pretty denim jacket,very satisfied,General Petite
1104,25,Amazing peach color!,very satisfied,General
878,63,,satisfied,General
1104,54,Perfection.,very satisfied,General
984,28,Nice quality but too short for my tall frame,satisfied,General Petite
866,26,"Cute top, but back is more of a jersey material",satisfied,General
1104,29,,very satisfied,General
868,61,Nice color,neutral,General
984,45,Perfect jean jacket,very satisfied,General Petite
984,39,Great asset,very satisfied,General Petite
1104,36,Gorgeous,very satisfied,General
878,41,Comfy and fun!,very satisfied,General
1182,37,Great tee,very satisfied,General Petite
868,55,Pretty and feminine,very satisfied,General
868,83,Sooooooooo cute!,very satisfied,General
868,35,Peplum hem tee,neutral,General
565,38,,very satisfied,General Petite
984,35,So comfortable and chic,very satisfied,General Petite
1104,45,,very satisfied,General
868,65,,very satisfied,General
878,41,Perfect sweatshirt,very satisfied,General
868,69,Clever white edges,satisfied,General
1104,36,Love this dress!,very satisfied,General
868,42,,unsatisfied,General
984,69,,very satisfied,General Petite
878,46,"Not much structure, boxy...",unsatisfied,General
984,55,Almost perfect denim jacket,very satisfied,General Petite
984,36,Perfect,very satisfied,General Petite
984,71,,very satisfied,General Petite
1024,65,Super nice,very satisfied,General
984,68,I wish it were alless stiff denim. runs small,neutral,General Petite
984,43,Terrific denim jacket,very satisfied,General Petite
1104,30,,very satisfied,General
1024,40,Cute versatile culottes,very satisfied,General
984,47,My new favorite denim jacket,very satisfied,General Petite
1104,39,,very satisfied,General
984,34,Favorite jean jacket,very satisfied,General Petite
1104,38,,satisfied,General
984,38,Perfect denim jacket,very satisfied,General Petite
895,36,,very satisfied,General
1104,41,Best dress ever!,very satisfied,General
1131,36,Stylish jacket,neutral,General
984,47,Adorable!,very satisfied,General Petite
1104,63,"Stunning, flattering, and versatile.",very satisfied,General
831,35,Pretty blouse!,very satisfied,General
984,35,Too distressed,satisfied,General Petite
1104,56,Stunning...,very satisfied,General
836,41,Cute top,very satisfied,General
1089,37,Runs large and zipper sticks,neutral,General Petite
844,34,Very unflattering,neutral,General Petite
836,32,Adorable,satisfied,General
836,60,Didn't work for me,neutral,General
836,21,Beautiful top!,very satisfied,General
836,59,Love this blouse,very satisfied,General
844,53,Lovely printed blouse,very satisfied,General Petite
936,27,"Love, love, love!",very satisfied,General Petite
895,62,Loveee,very satisfied,General
836,41,,very satisfied,General
831,50,My favorite new blouse,very satisfied,General
844,54,A standout,very satisfied,General Petite
895,47,,very satisfied,General
1066,41,Lovely!,very satisfied,General
844,43,Disappointing!,unsatisfied,General Petite
836,43,Better in person,very satisfied,General
836,23,Cuter is person,satisfied,General
907,25,,very satisfied,General
836,51,Airy and flattering,very satisfied,General
844,41,Awkward fit,neutral,General Petite
1103,49,Beautiful color,satisfied,General
866,46,Really good quality tee!,very satisfied,General
907,29,Cute top,very satisfied,General
844,53,Not a good fit,very unsatisfied,General Petite
895,66,Cutest vest,very satisfied,General
895,32,,very satisfied,General
1080,74,"Beautiful, vintage feel, delicate beadwork",very satisfied,General Petite
831,63,Very interesting design,very satisfied,General
844,41,Fun and flowy,very satisfied,General Petite
844,40,Beautiful shirt,satisfied,General Petite
831,40,Beautiful fabric,very satisfied,General
836,32,,very satisfied,General
907,49,"Nice basic piece, will get a lot of wear.",very satisfied,General
844,44,,neutral,General Petite
895,24,,very satisfied,General
895,70,Soft patterned long vest,very satisfied,General
907,30,Great piece,very satisfied,General
844,47,Beautiful and timeless,very satisfied,General Petite
836,27,"Cute top, but not for me",neutral,General
844,36,So disappointed! please fix it!,unsatisfied,General Petite
844,69,Ruffled buttondown,satisfied,General Petite
844,52,"Exquisite blouse, runs huge",very satisfied,General Petite
936,32,Sweater not a coat,unsatisfied,General Petite
907,37,Soft sweater,very satisfied,General
936,32,,very satisfied,General Petite
831,42,Could have been cute...,very unsatisfied,General
907,51,Worth the sale price,very satisfied,General
862,34,Almost but not quite,neutral,General Petite
836,37,"Nice, runs small and short",neutral,General
936,50,Amazing sweatercoat!,satisfied,General Petite
895,36,Great piece for layering,very satisfied,General Petite
836,65,Cute but ...,neutral,General
580,60,Nice thin sweatshirt,very satisfied,Initmates
