rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
2919,4500,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Midtown,Manhattan
2790,4795,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,Manhattan
1437,4650,1,1,915,5,5,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
404,2950,1,1,550,43,17,14,1,1,0,1,1,0,0,0,Upper East Side,Manhattan
6594,4875,1,1,900,1,14,52,1,0,1,1,1,1,0,1,East Village,Manhattan
2964,4850,1,1,789,2,40,11,0,0,0,0,0,0,0,0,Midtown West,Manhattan
5405,3700,1,1,947,5,5,85,1,0,1,0,1,0,1,0,Upper East Side,Manhattan
5832,2195,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Lower East Side,Manhattan
7050,4200,1,1,640,3,15,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
3491,4950,1,1,870,2,9,11,0,1,1,0,0,1,0,0,Midtown,Manhattan
2443,2450,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
6142,3375,1,1,652,3,12,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
9535,4990,1,1,823,5,22,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
5169,10000,1,2,1600,2,3,5,1,0,0,0,1,0,0,0,Tribeca,Manhattan
4687,4350,1,1,783,2,6,29,0,1,0,1,1,0,0,0,West Village,Manhattan
403,3625,1,1,650,43,19,14,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
2154,3295,1,1,465,5,2,29,0,1,0,1,1,0,0,0,West Village,Manhattan
4268,2750,1,1,600,9,12,57,0,0,0,0,0,0,0,0,Midtown East,Manhattan
8976,3900,1,1,750,6,6,106,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
9019,5325,1,1,697,2,36,13,1,0,0,0,0,0,0,0,Flatiron,Manhattan
5877,3900,1,1,643,4,10,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
3736,4700,1,1,500,2,3,116,0,0,0,0,0,0,0,0,Soho,Manhattan
5736,3483,1,1,735,9,4,87,0,0,0,0,0,0,0,0,Midtown East,Manhattan
2376,4600,1,1,890,2,8,10,0,0,1,1,1,1,0,0,Midtown East,Manhattan
10520,1695,1,1,750,1,4,87,1,1,0,0,0,0,0,0,Central Harlem,Manhattan
6843,5080,1,1,850,2,26,42,1,0,1,0,0,1,1,0,Upper West Side,Manhattan
1554,4890,1,1,815,43,7,8,1,0,0,0,1,0,0,0,Upper West Side,Manhattan
6566,3800,1,1,750,13,21,9,1,0,0,1,1,0,0,1,Midtown West,Manhattan
