obs_num,nba,cupid
1,82,75
2,81,70
3,86,68
4,73,71
5,78,66
6,81,67
7,79,65
8,75,65
9,75,67
10,78,65
11,77,70
12,72,72
13,83,72
14,78,66
15,79,62
16,81,65
17,78,70
18,77,64
19,76,71
20,77,72
21,70,67
22,84,67
23,79,69
24,82,71
25,73,73
26,79,70
27,77,72
28,77,67
29,78,74
30,74,68
31,76,64
32,79,72
33,86,67
34,82,60
35,71,69
36,85,69
37,80,69
38,81,69
39,82,63
40,83,74
41,83,76
42,83,72
43,80,75
44,73,71
45,77,66
46,79,69
47,80,73
48,81,70
49,74,67
50,80,66
51,81,66
52,82,65
53,76,69
54,75,69
55,81,69
56,74,70
57,82,71
58,80,72
59,77,70
60,76,71
61,78,67
62,78,75
63,83,70
64,81,67
65,78,72
66,83,68
67,74,65
68,82,66
69,82,69
70,80,76
71,81,62
72,81,67
73,75,73
74,82,61
75,83,72
76,78,67
77,74,72
78,78,65
79,74,67
80,82,71
81,74,67
82,77,69
83,75,69
84,81,64
85,82,73
86,80,68
87,78,66
88,77,61
89,78,71
90,72,64
91,79,74
92,81,74
93,71,67
94,78,69
95,82,67
96,79,78
97,82,75
98,78,70
99,79,66
100,79,72
101,86,71
102,79,68
103,82,69
104,79,70
105,84,63
106,83,65
107,79,64
108,80,72
109,72,64
110,81,66
111,83,68
112,80,71
113,73,74
114,83,66
115,76,70
116,83,72
117,73,68
118,75,67
119,80,65
120,75,66
121,80,71
122,76,75
123,81,66
124,74,70
125,80,62
126,77,68
127,71,73
128,72,68
129,83,71
130,75,66
131,77,69
132,74,68
133,77,68
134,74,68
135,81,68
136,76,67
137,79,75
138,84,73
139,78,67
140,79,73
141,74,62
142,74,73
143,71,73
144,72,74
145,70,63
146,80,67
147,72,70
148,82,66
149,82,64
150,72,67
151,81,63
152,81,68
153,73,68
154,74,75
155,82,73
156,82,61
157,81,62
158,77,68
159,77,69
160,81,63
161,84,62
162,74,66
163,78,66
164,75,66
165,76,72
166,85,74
167,72,72
168,84,63
169,77,68
170,81,66
171,83,66
172,78,70
173,81,73
174,81,63
175,73,69
176,73,66
177,72,68
178,76,72
179,83,68
180,76,71
181,80,69
182,80,66
183,78,68
184,79,70
185,76,74
186,79,63
187,74,66
188,82,60
189,81,67
190,81,79
191,78,61
192,75,69
193,77,69
194,72,67
195,84,71
196,74,63
197,83,67
198,78,63
199,73,64
200,78,62
201,80,65
202,75,67
203,80,66
204,80,63
205,79,63
206,76,69
207,76,71
208,75,69
209,73,67
210,76,66
211,76,62
212,75,72
213,75,69
214,76,69
215,70,59
216,75,74
217,74,70
218,84,65
219,71,70
220,78,66
221,77,70
222,76,64
223,79,69
224,77,63
225,84,62
226,78,68
227,77,71
228,79,71
229,80,69
230,80,70
231,81,72
232,83,66
233,76,65
234,82,65
235,80,68
236,83,68
237,80,62
238,74,72
239,78,63
240,82,73
241,76,67
242,80,65
243,77,69
244,70,80
245,80,61
246,75,63
247,77,73
248,78,63
249,82,71
250,74,62
251,77,68
252,75,72
253,77,65
254,81,67
255,75,67
256,70,68
257,77,67
258,82,67
259,81,62
260,77,63
261,81,64
262,81,72
263,72,62
264,81,66
265,73,67
266,76,62
267,79,69
268,73,69
269,79,64
270,84,62
271,78,70
272,81,64
273,79,63
274,77,67
275,75,68
276,77,67
277,81,65
278,77,67
279,73,64
280,72,71
281,83,80
282,78,60
283,75,71
284,76,69
285,85,67
286,83,64
287,80,62
288,84,63
289,78,61
290,80,69
291,72,76
292,78,70
293,79,72
294,75,63
295,72,69
296,79,72
297,80,70
298,83,73
299,82,62
300,81,62
301,71,72
302,80,66
303,80,65
304,80,70
305,80,71
306,82,71
307,71,64
308,71,63
309,73,75
310,89,70
311,74,73
312,75,68
313,71,69
314,73,64
315,73,68
316,73,68
317,83,74
318,79,61
319,79,66
320,81,62
321,75,67
322,75,72
323,80,67
324,81,64
325,78,68
326,78,63
327,81,69
328,75,68
329,75,65
330,81,66
331,82,62
332,85,72
333,77,70
334,77,69
335,81,64
336,82,63
337,78,60
338,78,65
339,78,67
340,72,72
341,76,71
342,79,73
343,75,68
344,76,62
345,72,69
346,73,71
347,76,66
348,79,72
349,83,68
350,72,73
351,73,67
352,74,75
353,81,74
354,78,74
355,81,68
356,84,64
357,76,75
358,76,63
359,72,65
360,76,72
361,76,68
362,84,69
363,77,73
364,78,70
365,80,69
366,63,73
367,84,69
368,81,71
369,91,73
370,77,63
371,81,67
372,76,64
373,80,71
374,74,72
375,77,74
376,76,72
377,77,71
378,80,64
379,82,66
380,82,74
381,78,68
382,73,70
383,80,68
384,82,76
385,74,72
386,83,70
387,78,67
388,80,64
389,81,68
390,84,66
391,77,69
392,80,72
393,80,61
394,77,74
395,83,64
396,79,66
397,80,73
398,81,76
399,84,71
400,76,69
401,82,71
402,79,71
403,79,91
404,80,74
405,78,62
406,85,67
407,82,62
408,77,71
409,82,70
410,77,72
411,73,72
412,74,64
413,77,72
414,65,68
415,82,68
416,78,71
417,78,66
418,73,67
419,82,68
420,80,61
421,78,73
422,78,71
423,74,71
424,71,64
425,77,72
426,77,67
427,78,65
428,80,74
429,75,68
430,82,61
431,90,71
432,83,67
