rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
10524,1950,1,1,950,1,3,83,0,0,0,0,0,0,0,0,Forest Hills,Queens
5465,3500,1,1,996,9,7,3,1,0,0,0,0,0,0,0,Astoria,Queens
5259,1725,1,1,800,1,2,89,0,0,0,0,0,0,0,0,Astoria,Queens
9736,1700,1,1,730,10,3,7,0,0,0,0,0,0,0,0,Briarwood,Queens
3545,3100,1,1,787,6,3,9,1,1,0,1,1,0,1,0,Long Island City,Queens
8385,2695,1,1,875,8,15,56,1,0,0,0,0,0,0,0,Forest Hills,Queens
9386,2200,1,1,886,8,4,58,1,0,0,0,0,0,0,0,Sunnyside,Queens
8402,1850,1,1,1000,2,1,11,0,0,0,0,0,0,0,0,Astoria,Queens
10963,1900,1,1,900,3,7,61,1,0,0,0,0,0,0,0,Elmhurst,Queens
6743,2200,1,1,665,27,4,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Queens
8457,2000,1,1,482,8,4,86,0,0,0,0,0,0,0,0,Corona,Queens
5844,2350,1,1,600,5,6,12,0,0,0,0,0,0,0,0,Astoria,Queens
6754,3450,1,1,888,2,6,8,0,0,1,1,1,1,0,1,Long Island City,Queens
9307,1450,1,1,700,8,3,92,0,0,0,0,0,0,0,0,Richmond Hill,Queens
3516,1975,1,1,700,43,20,42,0,0,0,0,0,0,0,0,Kew Gardens,Queens
5133,2000,1,1,750,9,5,15,0,0,1,0,0,1,0,0,Kew Gardens,Queens
10885,3400,1,1,1000,9,7,3,1,0,0,0,0,0,0,0,Astoria,Queens
3253,3000,1,1,630,6,20,0,1,0,0,0,0,0,0,0,Long Island City,Queens
6838,2535,1,1,570,9,5,3,1,0,0,0,0,0,0,0,Astoria,Queens
9816,2945,1,1,940,9,1,3,1,0,0,0,0,0,0,0,Astoria,Queens
10312,1900,1,1,678,5,4,64,1,0,0,0,0,0,0,0,Rego Park,Queens
4281,1700,1,1,575,12,3,16,0,0,0,0,0,0,0,0,Astoria,Queens
3369,1995,1,1,600,14,1,68,0,0,0,0,0,0,0,0,Astoria,Queens
9365,1800,1,1,700,1,3,87,0,0,0,0,0,0,0,0,Astoria,Queens
8545,1835,1,1,600,4,10,86,1,0,0,0,0,0,0,0,Sunnyside,Queens
5208,1625,1,1,815,4,7,52,0,0,0,0,0,0,0,0,Jamaica Estates,Queens
11320,3450,1,1,800,6,9,9,1,0,1,1,1,0,0,0,Long Island City,Queens
4997,1625,1,1,620,18,4,85,1,0,0,0,0,0,0,0,Queens Village,Queens
5614,3275,1,1,630,6,15,0,1,0,0,0,0,0,0,0,Long Island City,Queens
7546,2500,1,1,700,15,4,116,0,0,1,1,1,0,0,0,Astoria,Queens
2928,3410,1,1,759,6,5,3,1,0,0,0,0,0,0,0,Long Island City,Queens
3374,1650,1,1,750,4,1,90,0,0,0,0,0,0,0,0,Woodhaven,Queens
9693,2295,1,1,863,11,3,8,0,0,0,0,0,0,0,0,Astoria,Queens
8969,1700,1,1,550,2,27,87,0,0,0,0,0,0,0,0,Sunnyside,Queens
7009,2595,1,1,752,9,1,3,1,0,0,0,0,0,0,0,Astoria,Queens
9005,1550,1,1,710,4,2,21,0,0,0,0,0,0,0,0,Rego Park,Queens
6303,2550,1,1,650,9,3,3,1,0,0,0,0,0,0,0,Astoria,Queens
4787,3300,1,1,787,43,4,5,0,0,0,1,0,0,0,0,Long Island City,Queens
5616,2955,1,1,630,6,16,0,1,0,0,0,0,0,0,0,Long Island City,Queens
7371,1575,1,1,770,1,3,60,0,0,0,0,0,0,0,0,Jamaica Estates,Queens
5779,2550,1,1,750,3,16,6,0,0,0,0,0,0,0,0,Flushing,Queens
1969,2825,1,1,651,9,6,3,1,0,0,0,0,0,0,0,Astoria,Queens
1094,2995,1,1,700,2,2,9,1,1,1,0,0,1,0,1,Long Island City,Queens
8687,2395,1,1,700,4,3,9,0,0,0,0,0,0,0,0,Astoria,Queens
2639,1950,1,1,850,7,3,61,0,0,0,0,0,0,0,0,Sunnyside,Queens
1107,2650,1,1,985,5,5,71,0,0,0,0,0,0,0,0,Rego Park,Queens
8909,1950,1,1,950,1,3,83,0,0,0,0,0,0,0,0,Forest Hills,Queens
5059,2150,1,1,800,3,3,80,0,0,0,0,0,0,0,0,Sunnyside,Queens
1970,3500,1,1,988,9,7,3,1,0,0,0,0,0,0,0,Astoria,Queens
8863,1465,1,1,470,2,2,85,0,0,0,0,0,0,0,0,Sunnyside,Queens
9643,2100,1,1,500,2,3,86,0,0,0,0,0,0,0,0,Astoria,Queens
3185,2870,1,1,673,3,24,16,1,0,0,0,0,0,0,0,Long Island City,Queens
8025,2395,1,1,600,9,2,3,1,0,0,0,0,0,0,0,Astoria,Queens
5458,2395,1,1,700,9,3,3,1,0,0,0,0,0,0,0,Astoria,Queens
8235,1700,1,1,600,17,14,20,1,0,0,0,0,0,0,0,Forest Hills,Queens
11009,1600,1,1,650,0,3,95,1,0,0,0,0,0,0,0,Ridgewood,Queens
1971,3500,1,1,996,9,7,3,1,0,0,0,0,0,0,0,Astoria,Queens
7764,2000,1,1,708,10,2,55,1,0,0,0,0,0,0,0,Sunnyside,Queens
5185,2700,1,1,720,9,7,4,0,0,0,0,0,0,0,0,Astoria,Queens
7575,3500,1,1,1178,2,5,96,1,0,0,1,1,0,0,1,Long Island City,Queens
11004,1825,1,1,680,13,2,52,1,0,0,0,0,0,0,0,Jackson Heights,Queens
2006,2950,1,1,850,3,1,6,0,0,0,0,0,0,0,0,Flushing,Queens
7452,1590,1,1,700,7,5,51,0,0,0,0,0,0,0,0,Woodside,Queens
2177,2600,1,1,1031,5,2,71,0,0,0,0,0,0,0,0,Rego Park,Queens
6222,1450,1,1,575,1,7,61,0,0,0,0,0,0,0,0,Jamaica Estates,Queens
8003,3325,1,1,629,6,16,0,1,0,0,0,0,0,0,0,Long Island City,Queens
8766,1500,1,1,650,3,4,86,0,0,0,0,0,0,0,0,Ridgewood,Queens
10731,2745,1,1,700,1,6,2,1,0,0,0,0,0,0,0,Forest Hills,Queens
8354,2535,1,1,615,9,5,3,1,0,0,0,0,0,0,0,Astoria,Queens
3186,2907,1,1,706,3,5,16,1,0,0,0,0,0,0,0,Long Island City,Queens
4559,1950,1,1,715,10,1,84,1,1,0,1,1,1,1,1,Kew Gardens,Queens
8928,2800,1,1,640,2,11,9,0,0,0,0,0,1,0,0,Long Island City,Queens
11154,1725,1,1,720,2,2,14,0,0,0,0,0,0,0,0,Forest Hills,Queens
8520,2600,1,1,705,6,2,8,0,0,0,0,0,1,0,0,Astoria,Queens
3636,2000,1,1,650,3,6,85,0,0,0,0,0,0,0,0,Astoria,Queens
1952,3160,1,1,721,6,20,3,0,0,0,0,0,0,0,0,Long Island City,Queens
11166,2650,1,1,875,8,16,56,1,1,1,0,1,1,0,0,Forest Hills,Queens
112,1750,1,1,720,2,2,15,0,1,0,1,1,1,0,0,Forest Hills,Queens
2399,2000,1,1,900,4,3,70,0,0,0,0,0,0,0,0,Rego Park,Queens
10793,1750,1,1,685,17,3,57,1,0,0,0,0,0,0,0,Flushing,Queens
9038,1750,1,1,850,3,4,75,0,0,0,0,0,0,0,0,Rego Park,Queens
6697,1550,1,1,600,3,2,87,0,0,0,0,0,0,0,0,Sunnyside,Queens
5648,2535,1,1,575,9,5,3,1,0,0,0,0,0,0,0,Astoria,Queens
9419,3139,1,1,706,3,18,16,1,0,0,0,0,0,0,0,Long Island City,Queens
5894,1950,1,1,480,10,2,1,1,0,0,0,0,0,0,0,Ridgewood,Queens
8183,1650,1,1,750,4,1,20,0,0,0,0,0,0,0,0,Kew Gardens,Queens
10343,1800,1,1,800,12,3,65,0,0,0,0,0,0,0,0,Jackson Heights,Queens
5895,3300,1,1,762,10,7,8,1,1,0,1,1,0,0,1,Long Island City,Queens
9876,2200,1,1,665,27,4,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Queens
8164,3495,1,1,985,9,7,3,1,0,0,0,0,0,0,0,Astoria,Queens
3204,3000,1,1,629,6,19,0,1,0,0,0,0,0,0,0,Long Island City,Queens
6380,2200,1,1,487,3,4,6,1,0,0,0,0,0,0,0,Long Island City,Queens
3853,3200,1,1,875,3,10,20,0,0,0,0,0,0,0,0,Long Island City,Queens
8684,1850,1,1,550,2,2,98,0,0,0,0,0,0,0,0,Astoria,Queens
1968,2800,1,1,591,9,6,3,1,0,0,0,0,0,0,0,Astoria,Queens
1965,2650,1,1,648,9,5,3,1,0,0,0,0,0,0,0,Astoria,Queens
9390,1650,1,1,809,18,1,53,1,0,0,1,0,0,0,0,Flushing,Queens
